geneId,diseaseId,geneSymbol,diseaseName,recordCount,pubmedCount,directEvidence,inferenceChemicalCount
3952,MESH:D006529,LEP,Hepatomegaly,1,3,marker/mechanism,0
3952,MESH:D006943,LEP,Hyperglycemia,1,5,marker/mechanism,0
3952,MESH:D006963,LEP,Hyperphagia,1,4,marker/mechanism|therapeutic,0
3952,MESH:D006973,LEP,Hypertension,1,4,marker/mechanism,0
3952,MESH:D007006,LEP,Hypogonadism,1,2,marker/mechanism|therapeutic,0
3952,MESH:D007249,LEP,Inflammation,1,2,marker/mechanism|therapeutic,0
3952,MESH:D007333,LEP,Insulin Resistance,1,4,marker/mechanism|therapeutic,0
3952,MESH:D008106,LEP,"Liver Cirrhosis, Experimental",1,3,marker/mechanism,0
3952,MESH:D024821,LEP,Metabolic Syndrome,1,2,marker/mechanism,0
3952,MESH:D065626,LEP,Non-alcoholic Fatty Liver Disease,1,2,marker/mechanism,0
3952,MESH:D009765,LEP,Obesity,1,15,marker/mechanism|therapeutic,0
3952,MESH:D013276,LEP,Stomach Ulcer,1,6,therapeutic,0
3952,MESH:D015430,LEP,Weight Gain,1,9,marker/mechanism|therapeutic,0
3972,MESH:D007006,LHB,Hypogonadism,1,4,marker/mechanism|therapeutic,0
3972,MESH:D007248,LHB,"Infertility, Male",1,3,marker/mechanism,0
3972,MESH:D011085,LHB,Polycystic Ovary Syndrome,1,2,marker/mechanism,0
3990,MESH:D003924,LIPC,"Diabetes Mellitus, Type 2",1,2,marker/mechanism,0
4017,MESH:D001943,LOXL2,Breast Neoplasms,1,2,marker/mechanism,0
4018,MESH:D050197,LPA,Atherosclerosis,1,3,marker/mechanism,0
4018,MESH:D003324,LPA,Coronary Artery Disease,1,2,marker/mechanism,0
4023,MESH:D015228,LPL,Hypertriglyceridemia,1,2,marker/mechanism|therapeutic,0
120892,MESH:D010300,LRRK2,Parkinson Disease,1,11,marker/mechanism,0
120892,MESH:D020734,LRRK2,Parkinsonian Disorders,1,3,marker/mechanism,0
4046,MESH:D001943,LSP1,Breast Neoplasms,1,2,marker/mechanism,0
4056,MESH:D055963,LTC4S,"Asthma, Aspirin-Induced",1,4,marker/mechanism,0
378938,MESH:D001943,MALAT1,Breast Neoplasms,1,2,marker/mechanism|therapeutic,0
378938,MESH:D009361,MALAT1,Neoplasm Invasiveness,1,2,marker/mechanism,0
378938,MESH:D009362,MALAT1,Neoplasm Metastasis,1,3,marker/mechanism|therapeutic,0
4128,MESH:D001321,MAOA,Autistic Disorder,1,3,marker/mechanism,0
4128,MESH:D006501,MAOA,Hepatic Encephalopathy,1,3,marker/mechanism,0
5594,MESH:D019970,MAPK1,Cocaine-Related Disorders,1,2,marker/mechanism,0
5594,MESH:D006930,MAPK1,Hyperalgesia,1,2,marker/mechanism,0
5594,MESH:D008175,MAPK1,Lung Neoplasms,1,2,marker/mechanism,0
5595,MESH:D006930,MAPK3,Hyperalgesia,1,2,marker/mechanism,0
5595,MESH:D008175,MAPK3,Lung Neoplasms,1,2,marker/mechanism,0
5601,MESH:D015427,MAPK9,Reperfusion Injury,1,2,marker/mechanism,0
4137,MESH:D000544,MAPT,Alzheimer Disease,1,7,marker/mechanism,0
4137,MESH:D003072,MAPT,Cognition Disorders,1,2,marker/mechanism,0
4137,MESH:D003704,MAPT,Dementia,1,2,marker/mechanism,0
4137,MESH:D008569,MAPT,Memory Disorders,1,4,marker/mechanism,0
4137,MESH:D010300,MAPT,Parkinson Disease,1,2,marker/mechanism,0
4137,MESH:D020734,MAPT,Parkinsonian Disorders,1,2,marker/mechanism,0
4170,MESH:D008175,MCL1,Lung Neoplasms,1,2,marker/mechanism,0
4193,MESH:D002289,MDM2,"Carcinoma, Non-Small-Cell Lung",1,2,marker/mechanism,0
4204,MESH:D001321,MECP2,Autistic Disorder,1,3,marker/mechanism,0
4204,MESH:D004195,MECP2,"Disease Models, Animal",1,2,marker/mechanism,0
4233,MESH:D000230,MET,Adenocarcinoma,1,2,marker/mechanism,0
4233,MESH:D001321,MET,Autistic Disorder,1,2,marker/mechanism,0
4233,MESH:D002289,MET,"Carcinoma, Non-Small-Cell Lung",1,4,marker/mechanism,0
4233,MESH:D009362,MET,Neoplasm Metastasis,1,2,marker/mechanism,0
4233,MESH:D013274,MET,Stomach Neoplasms,1,2,marker/mechanism,0
