ncrnaId,drugId,ncrnaName,ncrnaType,drugName,phenotypeCount,pmidCount,effects,detectionMethods,levels,fda,targetGenes,pathways
circBase:hsa_circ_0027896,DrugBank:DB00515,hsa_circ_0027896,circRNA,Cisplatin,1,1,resistant,Microarray,High,approved,,
circBase:hsa_circ_0027930,DrugBank:DB00515,hsa_circ_0027930,circRNA,Cisplatin,1,1,sensitive,Microarray,High,approved,,
circBase:hsa_circ_0027972,DrugBank:DB00515,hsa_circ_0027972,circRNA,Cisplatin,1,1,sensitive,Microarray,High,approved,,
circBase:hsa_circ_0027973,DrugBank:DB00515,hsa_circ_0027973,circRNA,Cisplatin,1,1,sensitive,Microarray,High,approved,,
circBase:hsa_circ_0027975,DrugBank:DB00515,hsa_circ_0027975,circRNA,Cisplatin,1,1,sensitive,Microarray,High,approved,,
circBase:hsa_circ_0027976,DrugBank:DB00515,hsa_circ_0027976,circRNA,Cisplatin,1,1,sensitive,Microarray,High,approved,,
circBase:hsa_circ_0027977,DrugBank:DB00515,hsa_circ_0027977,circRNA,Cisplatin,1,1,sensitive,Microarray,High,approved,,
circBase:hsa_circ_0027991,DrugBank:DB00515,hsa_circ_0027991,circRNA,Cisplatin,1,1,sensitive,Microarray,High,approved,,
circBase:hsa_circ_0028023,DrugBank:DB00515,hsa_circ_0028023,circRNA,Cisplatin,1,1,sensitive,Microarray,High,approved,,
circBase:hsa_circ_0028048,DrugBank:DB00515,hsa_circ_0028048,circRNA,Cisplatin,1,1,resistant,Microarray,High,approved,,
circBase:hsa_circ_0028126,DrugBank:DB00515,hsa_circ_0028126,circRNA,Cisplatin,1,1,sensitive,Microarray,High,approved,,
circBase:hsa_circ_0028223,DrugBank:DB00515,hsa_circ_0028223,circRNA,Cisplatin,1,1,resistant,Microarray,High,approved,,
circBase:hsa_circ_0028284,DrugBank:DB00515,hsa_circ_0028284,circRNA,Cisplatin,1,1,resistant,Microarray,High,approved,,
circBase:hsa_circ_0028285,DrugBank:DB00515,hsa_circ_0028285,circRNA,Cisplatin,1,1,sensitive,Microarray,High,approved,,
circBase:hsa_circ_0028302,DrugBank:DB00515,hsa_circ_0028302,circRNA,Cisplatin,1,1,sensitive,Microarray,High,approved,,
circBase:hsa_circ_0028307,DrugBank:DB00515,hsa_circ_0028307,circRNA,Cisplatin,1,1,sensitive,Microarray,High,approved,,
circBase:hsa_circ_0028308,DrugBank:DB00515,hsa_circ_0028308,circRNA,Cisplatin,1,1,sensitive,Microarray,High,approved,,
circBase:hsa_circ_0028397,DrugBank:DB00515,hsa_circ_0028397,circRNA,Cisplatin,1,1,sensitive,Microarray,High,approved,,
circBase:hsa_circ_0028477,DrugBank:DB00515,hsa_circ_0028477,circRNA,Cisplatin,1,1,resistant,Microarray,High,approved,,
circBase:hsa_circ_0028502,DrugBank:DB00515,hsa_circ_0028502,circRNA,Cisplatin,1,1,resistant,Microarray,High,approved,,
circBase:hsa_circ_0028601,DrugBank:DB00515,hsa_circ_0028601,circRNA,Cisplatin,1,1,resistant,Microarray,High,approved,,
circBase:hsa_circ_0028612,DrugBank:DB00515,hsa_circ_0028612,circRNA,Cisplatin,1,1,resistant,Microarray,High,approved,,
circBase:hsa_circ_0028981,DrugBank:DB00515,hsa_circ_0028981,circRNA,Cisplatin,1,1,resistant,Microarray,High,approved,,
circBase:hsa_circ_0028983,DrugBank:DB00515,hsa_circ_0028983,circRNA,Cisplatin,1,1,resistant,Microarray,High,approved,,
circBase:hsa_circ_0029005,DrugBank:DB00515,hsa_circ_0029005,circRNA,Cisplatin,1,1,resistant,Microarray,High,approved,,
circBase:hsa_circ_0029032,DrugBank:DB00515,hsa_circ_0029032,circRNA,Cisplatin,1,1,sensitive,Microarray,High,approved,,
circBase:hsa_circ_0029041,DrugBank:DB00515,hsa_circ_0029041,circRNA,Cisplatin,1,1,sensitive,Microarray,High,approved,,
circBase:hsa_circ_0029108,DrugBank:DB00515,hsa_circ_0029108,circRNA,Cisplatin,1,1,resistant,Microarray,High,approved,,
circBase:hsa_circ_0029110,DrugBank:DB00515,hsa_circ_0029110,circRNA,Cisplatin,1,1,resistant,Microarray,High,approved,,
circBase:hsa_circ_0029181,DrugBank:DB00515,hsa_circ_0029181,circRNA,Cisplatin,1,1,sensitive,Microarray,High,approved,,
circBase:hsa_circ_0029186,DrugBank:DB00515,hsa_circ_0029186,circRNA,Cisplatin,1,1,resistant,Microarray,High,approved,,
