ncrnaId,phenotypeId,ncrnaName,ncrnaType,phenotypeName,drugCount,pmidCount,effects,levels,targetGenes,pathways
ENSEMBL:ENSG00000248996,PHENO:Hypopharyngeal Cancer,ENST00000506025,lncRNA,Hypopharyngeal Cancer,1,1,resistant,High,,
ENSEMBL:ENSG00000249001,PHENO:Hypopharyngeal Cancer,ENST00000506480,lncRNA,Hypopharyngeal Cancer,1,1,resistant,High,,
ENSEMBL:ENSG00000249007,PHENO:Non-Small Cell Lung Cancer,RP11-510N19.5,lncRNA,Non-Small Cell Lung Cancer,1,1,resistant,High,,
ENSEMBL:ENSG00000249069,PHENO:Glioblastoma,LINC01033,lncRNA,Glioblastoma,1,1,sensitive,High,,
ENSEMBL:ENSG00000249096,PHENO:Cholangiocarcinoma,LINC02362,lncRNA,Cholangiocarcinoma,1,1,sensitive,High,,
ENSEMBL:ENSG00000249096,PHENO:Hypopharyngeal Cancer,NR_125933,lncRNA,Hypopharyngeal Cancer,1,1,sensitive,High,,
ENSEMBL:ENSG00000249122,PHENO:Hypopharyngeal Cancer,ENST00000510602,lncRNA,Hypopharyngeal Cancer,1,1,sensitive,High,,
ENSEMBL:ENSG00000249173,PHENO:Cholangiocarcinoma,LINC01093,lncRNA,Cholangiocarcinoma,1,1,sensitive,High,,
ENSEMBL:ENSG00000249196,PHENO:Hypopharyngeal Cancer,ENST00000512133,lncRNA,Hypopharyngeal Cancer,1,1,resistant,High,,
ENSEMBL:ENSG00000249201,PHENO:Cholangiocarcinoma,CTD-3080P12.3,lncRNA,Cholangiocarcinoma,1,1,sensitive,High,,
ENSEMBL:ENSG00000249271,PHENO:Hepatocellular Carcinoma,ENST00000503999,lncRNA,Hepatocellular Carcinoma,1,1,sensitive,High,,
ENSEMBL:ENSG00000249279,PHENO:Hypopharyngeal Cancer,ENST00000511794,lncRNA,Hypopharyngeal Cancer,1,1,resistant,High,,
ENSEMBL:ENSG00000249306,PHENO:Cholangiocarcinoma,LINC01411,lncRNA,Cholangiocarcinoma,1,1,resistant,High,,
ENSEMBL:ENSG00000249307,PHENO:Glioblastoma,LOC100505875,lncRNA,Glioblastoma,1,1,sensitive,High,,
ENSEMBL:ENSG00000249317,PHENO:Hypopharyngeal Cancer,ENST00000512989,lncRNA,Hypopharyngeal Cancer,1,1,resistant,High,,
ENSEMBL:ENSG00000249335,PHENO:Cholangiocarcinoma,CTC-537E7.3,lncRNA,Cholangiocarcinoma,1,1,sensitive,High,,
ENSEMBL:ENSG00000249343,PHENO:Hypopharyngeal Cancer,NR_105010,lncRNA,Hypopharyngeal Cancer,1,1,resistant,High,,
ENSEMBL:ENSG00000249352,PHENO:Cholangiocarcinoma,LINC02198,lncRNA,Cholangiocarcinoma,1,1,sensitive,High,,
ENSEMBL:ENSG00000249364,PHENO:Cholangiocarcinoma,RP11-434D9.1,lncRNA,Cholangiocarcinoma,1,1,sensitive,High,,
ENSEMBL:ENSG00000249378,PHENO:Glioblastoma,LOC401164,lncRNA,Glioblastoma,1,1,sensitive,High,,
ENSEMBL:ENSG00000249382,PHENO:Hypopharyngeal Cancer,ENST00000514707,lncRNA,Hypopharyngeal Cancer,1,1,sensitive,High,,
ENSEMBL:ENSG00000249395,PHENO:Glioblastoma,CASC9,lncRNA,Glioblastoma,1,1,sensitive,High,,
ENSEMBL:ENSG00000249395,PHENO:Non-Small Cell Lung Cancer,CASC9,lncRNA,Non-Small Cell Lung Cancer,1,1,resistant,High,,
ENSEMBL:ENSG00000249396,PHENO:Cholangiocarcinoma,LINC02212,lncRNA,Cholangiocarcinoma,1,1,resistant,High,,
ENSEMBL:ENSG00000249417,PHENO:Hypopharyngeal Cancer,ENST00000507698,lncRNA,Hypopharyngeal Cancer,1,1,sensitive,High,,
ENSEMBL:ENSG00000249425,PHENO:Hepatocellular Carcinoma,TCONS_00028472,lncRNA,Hepatocellular Carcinoma,1,1,sensitive,High,,
ENSEMBL:ENSG00000249464,PHENO:Lung Adenocarcinoma,LINC01091,lncRNA,Lung Adenocarcinoma,1,1,sensitive,High,,
ENSEMBL:ENSG00000249479,PHENO:Hypopharyngeal Cancer,ENST00000507972,lncRNA,Hypopharyngeal Cancer,1,1,resistant,High,,
ENSEMBL:ENSG00000249550,PHENO:Cholangiocarcinoma,LINC01234,lncRNA,Cholangiocarcinoma,1,1,resistant,High,,
ENSEMBL:ENSG00000249550,PHENO:Non-Small Cell Lung Cancer,RP11-438N16.1,lncRNA,Non-Small Cell Lung Cancer,1,1,sensitive,High,,
ENSEMBL:ENSG00000249592,PHENO:Glioblastoma,LOC100129917,lncRNA,Glioblastoma,1,1,sensitive,High,,
ENSEMBL:ENSG00000249614,PHENO:Hypopharyngeal Cancer,ENST00000510505,lncRNA,Hypopharyngeal Cancer,1,1,sensitive,High,,
ENSEMBL:ENSG00000249628,PHENO:Breast Cancer,LINC00942,lncRNA,Breast Cancer,1,1,sensitive,High,,
ENSEMBL:ENSG00000249628,PHENO:Cholangiocarcinoma,LINC00942,lncRNA,Cholangiocarcinoma,1,1,resistant,High,,
ENSEMBL:ENSG00000249628,PHENO:Colorectal Cancer,LINC00942,lncRNA,Colorectal Cancer,1,1,resistant,High,,
ENSEMBL:ENSG00000249628,PHENO:Hepatocellular Carcinoma,NR_028415,lncRNA,Hepatocellular Carcinoma,1,1,sensitive,High,,
ENSEMBL:ENSG00000249641,PHENO:Gastric Cancer,HOXC13-AS,lncRNA,Gastric Cancer,2,1,sensitive,High,,
ENSEMBL:ENSG00000249669,PHENO:Cholangiocarcinoma,RP11-394O4.5,lncRNA,Cholangiocarcinoma,1,1,resistant,High,,
ENSEMBL:ENSG00000249669,PHENO:Hypopharyngeal Cancer,ENST00000602964,lncRNA,Hypopharyngeal Cancer,1,1,sensitive,High,,
ENSEMBL:ENSG00000249699,PHENO:Cholangiocarcinoma,LINC02261,lncRNA,Cholangiocarcinoma,1,1,resistant,High,,
ENSEMBL:ENSG00000249700,PHENO:Hypopharyngeal Cancer,NR_037969,lncRNA,Hypopharyngeal Cancer,1,1,resistant,High,,
ENSEMBL:ENSG00000249771,PHENO:Hypopharyngeal Cancer,ENST00000510772,lncRNA,Hypopharyngeal Cancer,1,1,sensitive,High,,
