drugId,phenotypeId,drugName,phenotypeName,ncrnaCount,pmidCount,effects,levels,fda
DrugBank:DB08899,PHENO:Prostate Cancer,Enzalutamide,Prostate Cancer,16,1,resistant|sensitive,High,approved
DrugBank:DB08901,PHENO:Chronic Myelogenous Leukemia,Ponatinib,Chronic Myelogenous Leukemia,34,1,resistant|sensitive,High,approved
DrugBank:DB08911,PHENO:Melanoma,Trametinib,Melanoma,197,2,resistant|sensitive,High,approved
DrugBank:DB08912,PHENO:Melanoma,Dabrafenib,Melanoma,308,4,resistant|sensitive,High,approved
DrugBank:DB09063,PHENO:Non-Small Cell Lung Cancer,Ceritinib,Non-Small Cell Lung Cancer,458,1,resistant|sensitive,High,approved
DrugBank:DB09073,PHENO:Breast Cancer,Palbociclib,Breast Cancer,41,2,resistant|sensitive,High,approved
DrugBank:DB09074,PHENO:Brca2-Mutated Ovarian Cancer,Olaparib,Brca2-Mutated Ovarian Cancer,1,1,resistant,High,approved
DrugBank:DB09078,PHENO:Hepatocellular Carcinoma,Lenvatinib,Hepatocellular Carcinoma,22,1,resistant,High,approved
DrugBank:DB09079,PHENO:Non-Small Cell Lung Cancer,Nintedanib,Non-Small Cell Lung Cancer,4,1,resistant|sensitive,High,approved
DrugBank:DB09330,PHENO:Lung Adenocarcinoma,Osimertinib,Lung Adenocarcinoma,9,2,resistant|sensitive,High,approved
DrugBank:DB11672,PHENO:Breast Cancer,Curcumin,Breast Cancer,67,1,sensitive,High,approved
DrugBank:DB12130,PHENO:Non-Small Cell Lung Cancer,Lorlatinib,Non-Small Cell Lung Cancer,8,1,resistant,High,approved
