drugId,diseaseId,max_phase,labels,statuses
CHEMBL1200383,MONDO_0005180,4.0,Parkinson disease,
CHEMBL1200384,EFO_0000544,4.0,infection,
CHEMBL1200384,EFO_0000676,4.0,psoriasis,Completed | Recruiting
CHEMBL1200384,EFO_0000701,4.0,skin disease,
CHEMBL1200384,EFO_1001494,4.0,psoriasis vulgaris,Completed
CHEMBL1200386,EFO_0000701,4.0,skin disease,
CHEMBL1200395,HP_0012531,4.0,Pain,
CHEMBL1200396,HP_0012531,4.0,Pain,"Active, not recruiting | Completed | Enrolling by invitation | Recruiting | Unknown status | Withdrawn | Not yet recruiting | Terminated"
CHEMBL1200399,EFO_0006788,4.0,anxiety disorder,
CHEMBL1200399,EFO_1001892,4.0,generalized anxiety disorder,
CHEMBL1200399,MONDO_0002050,4.0,depressive disorder,
CHEMBL1200406,MONDO_0005271,4.0,allergic disease,
CHEMBL1200418,EFO_0000373,4.0,congestive heart failure,
CHEMBL1200419,MONDO_0005090,4.0,schizophrenia,
CHEMBL1200430,EFO_1000096,4.0,Atrophy,
CHEMBL1200430,GO_0042697,4.0,menopause,
CHEMBL1200444,MONDO_0004979,4.0,asthma,
CHEMBL1200467,EFO_0000701,4.0,skin disease,
CHEMBL1200467,EFO_0005531,4.0,urticaria,
CHEMBL1200467,HP_0000989,4.0,Pruritus,
CHEMBL1200473,HP_0011499,4.0,Mydriasis,
CHEMBL1200479,EFO_0000555,4.0,irritable bowel syndrome,
CHEMBL1200485,EFO_0000681,4.0,renal cell carcinoma,
CHEMBL1200485,EFO_0002892,4.0,thyroid carcinoma,
CHEMBL1200491,EFO_0007141,4.0,allergic conjunctivitis,Completed | Withdrawn
CHEMBL1200492,MONDO_0002009,4.0,major depressive disorder,
CHEMBL1200495,MONDO_0004979,4.0,asthma,
CHEMBL1200500,EFO_0003956,4.0,seasonal allergic rhinitis,Completed
CHEMBL1200500,EFO_0005854,4.0,allergic rhinitis,Completed
CHEMBL1200500,EFO_1001417,4.0,"Rhinitis, Allergic, Perennial",
CHEMBL1200500,HP_0001742,4.0,Nasal congestion,
CHEMBL1200500,HP_0006536,4.0,Airway obstruction,
CHEMBL1200500,MONDO_0004979,4.0,asthma,Enrolling by invitation | Completed | Unknown status
CHEMBL1200501,EFO_0000305,4.0,breast carcinoma,
CHEMBL1200501,MONDO_0007254,4.0,breast cancer,Not yet recruiting
CHEMBL1200509,MONDO_0008315,4.0,prostate cancer,
CHEMBL1200515,EFO_0000537,4.0,hypertension,
CHEMBL1200517,MONDO_0005277,4.0,migraine disorder,Completed
CHEMBL1200521,MONDO_0005277,4.0,migraine disorder,Completed
CHEMBL1200534,EFO_0000537,4.0,hypertension,
CHEMBL1200538,EFO_0000729,4.0,ulcerative colitis,
CHEMBL1200538,EFO_0004255,4.0,nephrotic syndrome,
CHEMBL1200538,EFO_1001222,4.0,type III hypersensitivity reaction disease,
CHEMBL1200538,MONDO_0002280,4.0,anemia,
CHEMBL1200538,MONDO_0002406,4.0,dermatitis,
CHEMBL1200538,MONDO_0004979,4.0,asthma,
CHEMBL1200545,EFO_0000701,4.0,skin disease,
CHEMBL1200554,EFO_0001663,4.0,prostate carcinoma,
CHEMBL1200554,MONDO_0000088,4.0,precocious puberty,
CHEMBL1200600,EFO_0003894,4.0,acne,
CHEMBL1200600,EFO_0005752,4.0,eye inflammation,
CHEMBL1200600,EFO_0009552,4.0,hemorrhoid,
CHEMBL1200600,MP_0001845,4.0,inflammation,
CHEMBL1200601,MONDO_0005277,4.0,migraine disorder,
CHEMBL1200604,HP_0011499,4.0,Mydriasis,
CHEMBL1200609,EFO_0001358,4.0,post-traumatic stress disorder,
CHEMBL1200609,EFO_0004242,4.0,obsessive-compulsive disorder,
CHEMBL1200609,EFO_0004262,4.0,panic disorder,
CHEMBL1200609,EFO_0006788,4.0,anxiety disorder,
CHEMBL1200609,EFO_1001917,4.0,social anxiety disorder,
CHEMBL1200609,GO_0042697,4.0,menopause,
CHEMBL1200609,MONDO_0002009,4.0,major depressive disorder,
CHEMBL1200617,EFO_0005752,4.0,eye inflammation,
CHEMBL1200618,EFO_0003956,4.0,seasonal allergic rhinitis,Completed
CHEMBL1200618,EFO_0005531,4.0,urticaria,Completed
CHEMBL1200618,EFO_0005854,4.0,allergic rhinitis,Completed | Not yet recruiting
CHEMBL1200618,MONDO_0005271,4.0,allergic disease,
