drugId,targetId,max_phase,statuses,mechanisms,target_name
CHEMBL4297844,ENSG00000141736,4.0,Not yet recruiting,Receptor protein-tyrosine kinase erbB-2 binding agent,Receptor tyrosine-protein kinase erbB-2
CHEMBL4297844,ENSG00000198900,4.0,Not yet recruiting,DNA topoisomerase I inhibitor,DNA topoisomerase 1
CHEMBL4297862,ENSG00000132639,4.0,,Synaptosomal nerve-associated protein 25 (SNAP-25) hydrolytic enzyme,Synaptosomal-associated protein 25
CHEMBL4297873,ENSG00000185010,4.0,Completed,Coagulation factor VIII exogenous protein,Coagulation factor VIII
CHEMBL4297945,ENSG00000185010,4.0,Completed | Recruiting,Coagulation factor VIII exogenous protein,Coagulation factor VIII
CHEMBL4297950,ENSG00000119535,4.0,,Granulocyte colony stimulating factor receptor agonist,Granulocyte colony-stimulating factor receptor
CHEMBL4297951,ENSG00000126218,4.0,,Coagulation factor X exogenous protein,Coagulation factor X
CHEMBL4297955,ENSG00000170820,4.0,,Follicle stimulating hormone receptor agonist,Follicle-stimulating hormone receptor
CHEMBL4297986,ENSG00000101981,4.0,Completed,Coagulation factor IX exogenous protein,Coagulation factor IX
CHEMBL4297990,ENSG00000185664,4.0,,Melanocyte protein PMEL binding agent,Melanocyte protein PMEL
CHEMBL4298037,ENSG00000188389,4.0,,Programmed cell death protein 1 antagonist,Programmed cell death protein 1
CHEMBL4298047,ENSG00000177455,4.0,,B-lymphocyte antigen CD19 binding agent,B-lymphocyte antigen CD19
CHEMBL4298092,ENSG00000156738,4.0,,B-lymphocyte antigen CD20 binding agent,B-lymphocyte antigen CD20
CHEMBL4298092,ENSG00000160654,4.0,,T cell surface glycoprotein CD3 binding agent,T cell surface glycoprotein CD3
CHEMBL4298092,ENSG00000167286,4.0,,T cell surface glycoprotein CD3 binding agent,T cell surface glycoprotein CD3
CHEMBL4298092,ENSG00000198851,4.0,,T cell surface glycoprotein CD3 binding agent,T cell surface glycoprotein CD3
CHEMBL4298124,ENSG00000188389,4.0,,Programmed cell death protein 1 antagonist,Programmed cell death protein 1
CHEMBL4298139,ENSG00000103546,4.0,,Norepinephrine transporter inhibitor,Sodium-dependent noradrenaline transporter
CHEMBL4298139,ENSG00000142319,4.0,,Dopamine transporter inhibitor,Sodium-dependent dopamine transporter
CHEMBL4298150,ENSG00000170989,4.0,,Sphingosine 1-phosphate receptor Edg-1 agonist,Sphingosine 1-phosphate receptor 1
CHEMBL4298167,ENSG00000096968,4.0,,Tyrosine-protein kinase JAK2 inhibitor,Tyrosine-protein kinase JAK2
CHEMBL4298167,ENSG00000105397,4.0,,Tyrosine-protein kinase TYK2 inhibitor,Non-receptor tyrosine-protein kinase TYK2
CHEMBL4298167,ENSG00000105639,4.0,,Tyrosine-protein kinase JAK3 inhibitor,Tyrosine-protein kinase JAK3
CHEMBL4298167,ENSG00000162434,4.0,,Tyrosine-protein kinase JAK1 inhibitor,Tyrosine-protein kinase JAK1
CHEMBL4298185,ENSG00000112964,4.0,,Growth hormone receptor agonist,Growth hormone receptor
CHEMBL4298199,ENSG00000048462,4.0,,Tumor necrosis factor receptor superfamily member 17 binding agent,Tumor necrosis factor receptor superfamily member 17
CHEMBL4298209,ENSG00000048462,4.0,,Tumor necrosis factor receptor superfamily member 17 binding agent,Tumor necrosis factor receptor superfamily member 17
CHEMBL4298209,ENSG00000101162,4.0,,Tubulin inhibitor,Tubulin
CHEMBL4298209,ENSG00000104833,4.0,,Tubulin inhibitor,Tubulin
CHEMBL4298209,ENSG00000137267,4.0,,Tubulin inhibitor,Tubulin
CHEMBL4298209,ENSG00000137285,4.0,,Tubulin inhibitor,Tubulin
CHEMBL4298209,ENSG00000176014,4.0,,Tubulin inhibitor,Tubulin
